       1.      31.     5.57
       2.       6.     2.45
       3.       3.     1.73
       4.       4.     2.00
       5.       4.     2.00
       6.       2.     1.41
       7.       2.     1.41
       8.       3.     1.73
       9.       5.     2.24
      10.       8.     2.83
      11.       7.     2.65
      12.       2.     1.41
      13.       7.     2.65
      14.       2.     1.41
      15.       3.     1.73
      16.       2.     1.41
      17.       4.     2.00
      18.       4.     2.00
      19.       1.     1.00
      20.       1.     1.00
      21.       0.     0.00
      22.       6.     2.45
      23.       5.     2.24
      24.       6.     2.45
      25.       7.     2.65
      26.       5.     2.24
      27.       4.     2.00
      28.       3.     1.73
      29.       3.     1.73
      30.       6.     2.45
      31.       2.     1.41
      32.       6.     2.45
      33.       3.     1.73
      34.       3.     1.73
      35.      11.     3.32
      36.       3.     1.73
      37.       4.     2.00
      38.       5.     2.24
      39.       3.     1.73
      40.       4.     2.00
      41.       5.     2.24
      42.       6.     2.45
      43.       5.     2.24
      44.       6.     2.45
      45.       3.     1.73
      46.       3.     1.73
      47.       2.     1.41
      48.       3.     1.73
      49.       4.     2.00
      50.       5.     2.24
      51.       4.     2.00
      52.       2.     1.41
      53.       2.     1.41
      54.       4.     2.00
      55.       4.     2.00
      56.       8.     2.83
      57.       2.     1.41
      58.       3.     1.73
      59.       3.     1.73
      60.       5.     2.24
      61.       2.     1.41
      62.       4.     2.00
      63.       3.     1.73
      64.       8.     2.83
      65.       4.     2.00
      66.       2.     1.41
      67.       1.     1.00
      68.       6.     2.45
      69.       2.     1.41
      70.       5.     2.24
      71.       3.     1.73
      72.       3.     1.73
      73.       2.     1.41
      74.       5.     2.24
      75.       3.     1.73
      76.       6.     2.45
      77.       0.     0.00
      78.       5.     2.24
      79.       3.     1.73
      80.       7.     2.65
      81.       2.     1.41
      82.       7.     2.65
      83.       2.     1.41
      84.       7.     2.65
      85.       3.     1.73
      86.       1.     1.00
      87.       5.     2.24
      88.       5.     2.24
      89.       2.     1.41
      90.       3.     1.73
      91.       4.     2.00
      92.       3.     1.73
      93.       7.     2.65
      94.       7.     2.65
      95.       3.     1.73
      96.       4.     2.00
      97.       4.     2.00
      98.       9.     3.00
      99.       4.     2.00
     100.       3.     1.73
     101.       4.     2.00
     102.       6.     2.45
     103.       3.     1.73
     104.       5.     2.24
     105.       2.     1.41
     106.       2.     1.41
     107.       6.     2.45
     108.       1.     1.00
     109.       6.     2.45
     110.       7.     2.65
     111.       2.     1.41
     112.       9.     3.00
     113.       5.     2.24
     114.       4.     2.00
     115.       3.     1.73
     116.       8.     2.83
     117.       6.     2.45
     118.       7.     2.65
     119.       7.     2.65
     120.       4.     2.00
     121.       6.     2.45
     122.       3.     1.73
     123.       6.     2.45
     124.       7.     2.65
     125.       5.     2.24
     126.       3.     1.73
     127.       4.     2.00
     128.      10.     3.16
     129.       2.     1.41
     130.       3.     1.73
     131.       4.     2.00
     132.       4.     2.00
     133.       4.     2.00
     134.       1.     1.00
     135.       6.     2.45
     136.       6.     2.45
     137.       5.     2.24
     138.       3.     1.73
     139.       8.     2.83
     140.       3.     1.73
     141.      12.     3.46
     142.       7.     2.65
     143.       3.     1.73
     144.       4.     2.00
     145.       5.     2.24
     146.       9.     3.00
     147.       2.     1.41
     148.       7.     2.65
     149.       3.     1.73
     150.       8.     2.83
     151.       7.     2.65
     152.       4.     2.00
     153.       6.     2.45
     154.      14.     3.74
     155.       8.     2.83
     156.       8.     2.83
     157.       4.     2.00
     158.       7.     2.65
     159.       1.     1.00
     160.       3.     1.73
     161.       4.     2.00
     162.       3.     1.73
     163.       8.     2.83
     164.       3.     1.73
     165.       8.     2.83
     166.       5.     2.24
     167.       3.     1.73
     168.       6.     2.45
     169.       3.     1.73
     170.       3.     1.73
     171.       9.     3.00
     172.       2.     1.41
     173.       4.     2.00
     174.       2.     1.41
     175.       9.     3.00
     176.       7.     2.65
     177.       6.     2.45
     178.       8.     2.83
     179.       5.     2.24
     180.      16.     4.00
     181.       8.     2.83
     182.      10.     3.16
     183.      15.     3.87
     184.       9.     3.00
     185.      11.     3.32
     186.       7.     2.65
     187.       4.     2.00
     188.       7.     2.65
     189.      11.     3.32
     190.       6.     2.45
     191.       7.     2.65
     192.      11.     3.32
     193.      10.     3.16
     194.      11.     3.32
     195.      12.     3.46
     196.       7.     2.65
     197.      10.     3.16
     198.      15.     3.87
     199.      11.     3.32
     200.       9.     3.00
     201.      10.     3.16
     202.      15.     3.87
     203.      14.     3.74
     204.       6.     2.45
     205.      14.     3.74
     206.      11.     3.32
     207.      15.     3.87
     208.      14.     3.74
     209.      13.     3.61
     210.      13.     3.61
     211.      17.     4.12
     212.      16.     4.00
     213.      22.     4.69
     214.      14.     3.74
     215.      23.     4.80
     216.      20.     4.47
     217.      22.     4.69
     218.      24.     4.90
     219.      26.     5.10
     220.      24.     4.90
     221.      29.     5.39
     222.      26.     5.10
     223.      34.     5.83
     224.      34.     5.83
     225.      46.     6.78
     226.      42.     6.48
     227.      52.     7.21
     228.      54.     7.35
     229.      65.     8.06
     230.      65.     8.06
     231.      85.     9.22
     232.      89.     9.43
     233.      99.     9.95
     234.     136.    11.66
     235.     160.    12.65
     236.     236.    15.36
     237.     313.    17.69
     238.     457.    21.38
     239.     632.    25.14
     240.     855.    29.24
     241.    1146.    33.85
     242.    1565.    39.56
     243.    1892.    43.50
     244.    2189.    46.79
     245.    2425.    49.24
     246.    2704.    52.00
     247.    2920.    54.04
     248.    3138.    56.02
     249.    3303.    57.47
     250.    3335.    57.75
     251.    3304.    57.48
     252.    3458.    58.80
     253.    3350.    57.88
     254.    3394.    58.26
     255.    3208.    56.64
     256.    2878.    53.65
     257.    2558.    50.58
     258.    2383.    48.82
     259.    1945.    44.10
     260.    1712.    41.38
     261.    1385.    37.22
     262.    1131.    33.63
     263.     951.    30.84
     264.     778.    27.89
     265.     633.    25.16
     266.     473.    21.75
     267.     398.    19.95
     268.     304.    17.44
     269.     180.    13.42
     270.     176.    13.27
     271.     129.    11.36
     272.      98.     9.90
     273.      75.     8.66
     274.      63.     7.94
     275.      68.     8.25
     276.      39.     6.24
     277.      54.     7.35
     278.      61.     7.81
     279.      50.     7.07
     280.      52.     7.21
     281.      56.     7.48
     282.      51.     7.14
     283.      61.     7.81
     284.      64.     8.00
     285.      82.     9.06
     286.     109.    10.44
     287.     116.    10.77
     288.     157.    12.53
     289.     177.    13.30
     290.     190.    13.78
     291.     212.    14.56
     292.     219.    14.80
     293.     261.    16.16
     294.     230.    15.17
     295.     261.    16.16
     296.     246.    15.68
     297.     255.    15.97
     298.     276.    16.61
     299.     276.    16.61
     300.     224.    14.97
     301.     213.    14.59
     302.     182.    13.49
     303.     166.    12.88
     304.     141.    11.87
     305.     118.    10.86
     306.     100.    10.00
     307.      81.     9.00
     308.      84.     9.17
     309.      72.     8.49
     310.      43.     6.56
     311.      38.     6.16
     312.      40.     6.32
     313.      39.     6.24
     314.      20.     4.47
     315.      30.     5.48
     316.      22.     4.69
     317.      24.     4.90
     318.      14.     3.74
     319.      17.     4.12
     320.      12.     3.46
     321.      18.     4.24
     322.      10.     3.16
     323.      21.     4.58
     324.      12.     3.46
     325.       8.     2.83
     326.       7.     2.65
     327.       5.     2.24
     328.       6.     2.45
     329.      10.     3.16
     330.      10.     3.16
     331.       7.     2.65
     332.       8.     2.83
     333.       9.     3.00
     334.       8.     2.83
     335.       3.     1.73
     336.       6.     2.45
     337.       6.     2.45
     338.       9.     3.00
     339.       6.     2.45
     340.       6.     2.45
     341.       9.     3.00
