-0.9552   0
-0.9452   0
-0.9352   0
-0.9252   0
-0.9152   0
-0.9052   0
-0.8952   0
-0.8852   0
-0.8752   0
-0.8652   0
-0.8552   0
-0.8452   0
-0.8352   0
-0.8252   0
-0.8152   0
-0.8052   0
-0.7952   0
-0.7852   0
-0.7752   0
-0.7652   0
-0.7552   0
-0.7452   0
-0.7352   0
-0.7252   0
-0.7152   0
-0.7052   0
-0.6952   0
-0.6852   0
-0.6752   0
-0.6652   0
-0.6552   0
-0.6452   0
-0.6352   0
-0.6252   0
-0.6152   0
-0.6052   0
-0.5952   0
-0.5852   0
-0.5752   0
-0.5652   0
-0.5552   0
-0.5452   0
-0.5352   0
-0.5252   0
-0.5152   0
-0.5052   0
-0.4952   0
-0.4852   0
-0.4752   0
-0.4652   0
-0.4552   0
-0.4452   0
-0.4352   0
-0.4252   0
-0.4152   0
-0.4052   0
-0.3952   0
-0.3852   0
-0.3752   0
-0.3652   0
-0.3552   0
-0.3452   0
-0.3352   0
-0.3252   0
-0.3152   0
-0.3052   0
-0.2952   0
-0.2852   0
-0.2752   0
-0.2652   0
-0.2552   0
-0.2452   0
-0.2352   0
-0.2252   0
-0.2152   0
-0.2052   0
-0.1952   0
-0.1852   0
-0.1752   1
-0.1652   1
-0.1552   2
-0.1452  11
-0.1352   8
-0.1252  20
-0.1152  42
-0.1052  72
-0.0952 102
-0.0852 136
-0.0752 238
-0.0652 320
-0.0552 435
-0.0452 558
-0.0352 654
-0.0252 731
-0.0152 761
-0.0052 868
 0.0048 834
 0.0148 835
 0.0248 717
 0.0348 608
 0.0448 564
 0.0548 368
 0.0648 322
 0.0748 235
 0.0848 152
 0.0948 121
 0.1048  65
 0.1148  41
 0.1248  17
 0.1348  19
 0.1448  12
 0.1548   3
 0.1648   0
 0.1748   1
 0.1848   0
 0.1948   1
 0.2048   0
 0.2148   0
 0.2248   0
 0.2348   0
 0.2448   0
 0.2548   0
 0.2648   0
 0.2748   0
 0.2848   0
 0.2948   0
 0.3048   0
 0.3148   0
 0.3248   0
 0.3348   0
 0.3448   0
 0.3548   0
 0.3648   0
 0.3748   0
 0.3848   0
 0.3948   0
 0.4048   0
 0.4148   0
 0.4248   2
 0.4348   2
 0.4448   0
 0.4548   2
 0.4648   1
 0.4748   1
 0.4848   0
 0.4948   1
 0.5048   2
 0.5148   3
 0.5248   2
 0.5348   0
 0.5448   1
 0.5548   1
 0.5648   1
 0.5748   1
 0.5848   0
 0.5948   1
 0.6048   3
 0.6148   4
 0.6248   1
 0.6348   2
 0.6448   1
